title,price,store,image_url,product_url,rating,review_count
Ключ - для снятия лотка SIM,2000.0,brandstore,https://dl.bs365.uz/storage/products/13518/SbRi4Xq2yl7NG9KzolP2.jpg,https://brandstore.uz/productPage/klyuch-dlya-snyatiya-lotka-sim,,
Кабель Earldom ET-AUX12 2m,15000.0,brandstore,https://dl.bs365.uz/storage/products/13945/n7UKLkvBPD4fD8pl6Yrh.jpg,https://brandstore.uz/productPage/kabel-earldom-et-aux12-2m,,
Кабель Earldom ET-AUX31 1m,19000.0,brandstore,https://dl.bs365.uz/storage/products/13952/PknLBqgo5JpVTo3e60Jq.jpg,https://brandstore.uz/productPage/kabel-earldom-et-aux31-1m,,
Кабель Go-Des AUX GAC-206 1.2m,19000.0,brandstore,https://dl.bs365.uz/storage/products/13959/BANPGbn1yofgufCdYZ1z.jpg,https://brandstore.uz/productPage/kabel-go-des-aux-gac-206-12m,,
Кабель Go-Des AUX GAC-209 1m,19000.0,brandstore,https://dl.bs365.uz/storage/products/13960/u26Cm6nMoIrWlkNAt45w.jpg,https://brandstore.uz/productPage/kabel-go-des-aux-gac-209-1m,,
Кабель Recrsi CA-099 Type-C / Type-C,19000.0,brandstore,https://dl.bs365.uz/storage/products/13993/175GDMoPHt2xwWGTmFzx.jpg,https://brandstore.uz/productPage/kabel-recrsi-ca-099-type-c-type-c,,
Кабель Borofone AUX BL4 1m,20000.0,brandstore,https://dl.bs365.uz/storage/products/13944/VjbfPAHC5TP7tSqAEThy.jpg,https://brandstore.uz/productPage/kabel-borofone-aux-bl4-1m,,
Кабель - US0402 Lighting / Micro / Type-C,22000.0,brandstore,https://dl.bs365.uz/storage/products/20370/zjHAWElk3pxWlzwSa1OK.jpg,https://brandstore.uz/productPage/kabel-us0402-lighting-micro-type-c,,
Кабель Borofone BX51 Triumph Type-C / Type-C White,25000.0,brandstore,https://dl.bs365.uz/storage/products/21261/2BC8IF4WWXTikPuBsyaQ.jpg,https://brandstore.uz/productPage/kabel-borofone-bx51-triumph-type-c-type-c-white,,
Кабель Earldom ET-AUX07,26000.0,brandstore,https://dl.bs365.uz/storage/products/15594/xUAG8jqswsU2vzko4sYS.jpg,https://brandstore.uz/productPage/kabel-earldom-et-aux07,,
Кабель Borofone BX41 Magnetic microUSB 2.4A,28000.0,brandstore,https://dl.bs365.uz/storage/products/15587/juFWzfVlVCKMRKR6ETMY.jpg,https://brandstore.uz/productPage/kabel-borofone-bx41-magnetic-microusb-24a,,
